user_id,game_name,behavior,playtime,zero,clean_name
151603712,The Elder Scrolls V Skyrim,play,273.0,0,the elder scrolls v skyrim
151603712,Fallout 4,play,87.0,0,fallout 4
151603712,Spore,play,14.9,0,spore
151603712,Fallout New Vegas,play,12.1,0,fallout new vegas
151603712,Left 4 Dead 2,play,8.9,0,left 4 dead 2
151603712,HuniePop,play,8.5,0,huniepop
151603712,Path of Exile,play,8.1,0,path of exile
151603712,Poly Bridge,play,7.5,0,poly bridge
151603712,Left 4 Dead,play,3.3,0,left 4 dead
151603712,Team Fortress 2,play,2.8,0,team fortress 2
151603712,Tomb Raider,play,2.5,0,tomb raider
151603712,The Banner Saga,play,2.0,0,the banner saga
151603712,BioShock Infinite,play,1.3,0,bioshock infinite
151603712,Dragon Age Origins - Ultimate Edition,play,1.3,0,dragon age origins ultimate edition
151603712,Fallout 3 - Game of the Year Edition,play,0.8,0,fallout 3 game of the year edition
151603712,Grand Theft Auto IV,play,0.6,0,grand theft auto iv
151603712,Realm of the Mad God,play,0.5,0,realm of the mad god
151603712,Eldevin,play,0.5,0,eldevin
151603712,Dota 2,play,0.5,0,dota 2
151603712,Robocraft,play,0.4,0,robocraft
151603712,Garry's Mod,play,0.1,0,garry s mod
59945701,Ultra Street Fighter IV,play,238.0,0,ultra street fighter iv
59945701,FINAL FANTASY XIII,play,84.0,0,final fantasy xiii
59945701,The Elder Scrolls V Skyrim,play,58.0,0,the elder scrolls v skyrim
59945701,Sid Meier's Civilization V,play,22.0,0,sid meier s civilization v
59945701,L.A. Noire,play,13.8,0,l a noire
59945701,Company of Heroes Tales of Valor,play,10.2,0,company of heroes tales of valor
59945701,7 Days to Die,play,7.8,0,7 days to die
59945701,Divekick,play,7.0,0,divekick
59945701,FINAL FANTASY VII,play,5.2,0,final fantasy vii
59945701,Orcs Must Die! 2,play,4.8,0,orcs must die 2
59945701,Killing Floor,play,3.4,0,killing floor
59945701,Company of Heroes,play,3.2,0,company of heroes
59945701,Bastion,play,2.8,0,bastion
59945701,Undertale,play,2.6,0,undertale
59945701,Counter-Strike Global Offensive,play,2.3,0,counter strike global offensive
59945701,Orcs Must Die!,play,0.7,0,orcs must die
59945701,THE KING OF FIGHTERS XIII STEAM EDITION,play,0.6,0,the king of fighters xiii steam edition
59945701,GUILTY GEAR XX ACCENT CORE PLUS R,play,0.5,0,guilty gear xx accent core plus r
59945701,Skullgirls,play,0.4,0,skullgirls
59945701,Company of Heroes Opposing Fronts,play,0.1,0,company of heroes opposing fronts
59945701,Team Fortress 2,play,0.1,0,team fortress 2
53875128,Grand Theft Auto V,play,86.0,0,grand theft auto v
53875128,Insurgency,play,72.0,0,insurgency
53875128,Left 4 Dead 2,play,71.0,0,left 4 dead 2
53875128,METAL GEAR SOLID V THE PHANTOM PAIN,play,59.0,0,metal gear solid v the phantom pain
53875128,S.T.A.L.K.E.R. Shadow of Chernobyl,play,54.0,0,s t a l k e r shadow of chernobyl
53875128,S.T.A.L.K.E.R. Call of Pripyat,play,50.0,0,s t a l k e r call of pripyat
53875128,Saints Row The Third,play,35.0,0,saints row the third
53875128,Far Cry 3,play,35.0,0,far cry 3
53875128,S.T.A.L.K.E.R. Clear Sky,play,35.0,0,s t a l k e r clear sky
53875128,Rocket League,play,34.0,0,rocket league
53875128,Far Cry 4,play,32.0,0,far cry 4
53875128,Prototype,play,25.0,0,prototype
53875128,Space Pirates and Zombies,play,24.0,0,space pirates and zombies
53875128,Dying Light,play,23.0,0,dying light
53875128,Just Cause 2,play,23.0,0,just cause 2
53875128,Mirror's Edge,play,23.0,0,mirror s edge
53875128,Mad Max,play,22.0,0,mad max
53875128,Portal 2,play,21.0,0,portal 2
53875128,RUNNING WITH RIFLES,play,18.5,0,running with rifles
53875128,Deus Ex Human Revolution - Director's Cut,play,18.3,0,deus ex human revolution director s cut
53875128,Tropico 4,play,14.3,0,tropico 4
53875128,Cave Story+,play,13.7,0,cave story
53875128,Dust An Elysian Tail,play,13.4,0,dust an elysian tail
53875128,F.E.A.R.,play,12.5,0,f e a r
53875128,South Park The Stick of Truth,play,12.2,0,south park the stick of truth
53875128,Watch_Dogs,play,11.2,0,watch dogs
53875128,Saints Row IV,play,11.1,0,saints row iv
53875128,DayZ,play,11.0,0,dayz
53875128,Half-Life 2,play,10.2,0,half life 2
53875128,Reassembly,play,10.1,0,reassembly
53875128,Sid Meier's Civilization III Complete,play,9.8,0,sid meier s civilization iii complete
53875128,The Talos Principle,play,9.8,0,the talos principle
53875128,FTL Faster Than Light,play,9.7,0,ftl faster than light
53875128,Bastion,play,9.6,0,bastion
53875128,Gunpoint,play,8.6,0,gunpoint
53875128,Rebuild 3 Gangs of Deadsville,play,8.4,0,rebuild 3 gangs of deadsville
53875128,Recettear An Item Shop's Tale,play,8.3,0,recettear an item shop s tale
53875128,Fallout New Vegas,play,7.5,0,fallout new vegas
53875128,Overgrowth,play,7.3,0,overgrowth
53875128,Far Cry 3 Blood Dragon,play,6.7,0,far cry 3 blood dragon
53875128,Burnout Paradise The Ultimate Box,play,6.6,0,burnout paradise the ultimate box
53875128,PROTOTYPE 2,play,6.4,0,prototype 2
53875128,Game Dev Tycoon,play,6.4,0,game dev tycoon
53875128,Sniper Elite 3,play,6.2,0,sniper elite 3
53875128,Gratuitous Space Battles,play,6.0,0,gratuitous space battles
53875128,Sid Meier's Civilization V,play,5.9,0,sid meier s civilization v
53875128,Rogue Legacy,play,5.7,0,rogue legacy
53875128,Plague Inc Evolved,play,5.6,0,plague inc evolved
53875128,From Dust,play,5.6,0,from dust
53875128,Rivals of Aether,play,5.5,0,rivals of aether
53875128,Half-Life 2 Episode Two,play,5.5,0,half life 2 episode two
53875128,Rise of Nations Extended Edition,play,5.2,0,rise of nations extended edition
53875128,Nidhogg,play,4.9,0,nidhogg
53875128,Spec Ops The Line,play,4.4,0,spec ops the line
53875128,Dishonored,play,4.3,0,dishonored
53875128,Half-Life 2 Episode One,play,4.2,0,half life 2 episode one
53875128,Wolfenstein The New Order,play,4.0,0,wolfenstein the new order
53875128,Distance,play,4.0,0,distance
53875128,Epic Battle Fantasy 4,play,4.0,0,epic battle fantasy 4
53875128,Miasmata,play,3.4,0,miasmata
53875128,Dead Space,play,3.3,0,dead space
53875128,Hotline Miami,play,3.2,0,hotline miami
53875128,NOT A HERO,play,3.0,0,not a hero
53875128,Receiver,play,2.9,0,receiver
53875128,Crypt of the NecroDancer,play,2.8,0,crypt of the necrodancer
53875128,Portal,play,2.8,0,portal
53875128,F.E.A.R. 2 Project Origin,play,2.8,0,f e a r 2 project origin
53875128,NaissanceE,play,2.7,0,naissancee
53875128,SteamWorld Dig,play,2.6,0,steamworld dig
53875128,Kairo,play,2.5,0,kairo
53875128,SNOW,play,2.5,0,snow
53875128,The Binding of Isaac,play,2.4,0,the binding of isaac
53875128,METAL GEAR RISING REVENGEANCE,play,2.2,0,metal gear rising revengeance
53875128,Starpoint Gemini 2,play,2.0,0,starpoint gemini 2
53875128,The Vanishing of Ethan Carter,play,1.9,0,the vanishing of ethan carter
53875128,Goat Simulator,play,1.9,0,goat simulator
53875128,Mass Effect,play,1.9,0,mass effect
53875128,Arma 2 Operation Arrowhead,play,1.8,0,arma 2 operation arrowhead
53875128,METAL GEAR SOLID V GROUND ZEROES,play,1.8,0,metal gear solid v ground zeroes
